#name (cmd = mergePeaks -d given K27m3-1-peaks.txt K27m3-2-peaks.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	K27m3-1-peaks.txt	K27m3-2-peaks.txt
Merged-chr14-118936498-1	chr14	118936345	118936651	+	15.500000	K27m3-2-peaks.txt	1		chr14-372
Merged-chr14-20733923-1	chr14	20733770	20734076	+	16.700001	K27m3-2-peaks.txt	1		chr14-373
Merged-chr1-152401019-1	chr1	152400866	152401172	+	30.400000	K27m3-2-peaks.txt	1		chr1-272
Merged-chr14-75785851-1	chr14	75785698	75786004	+	16.100000	K27m3-2-peaks.txt	1		chr14-389
Merged-chr1-132315124-1	chr1	132314971	132315277	+	31.600000	K27m3-2-peaks.txt	1		chr1-280
Merged-chr1-182763440-1	chr1	182763287	182763593	+	29.700001	K27m3-2-peaks.txt	1		chr1-286
Merged-chr14-4183037-1	chr14	4182884	4183190	+	17.299999	K27m3-2-peaks.txt	1		chr14-393
Merged-chr14-7027827-1	chr14	7027674	7027980	+	20.400000	K27m3-2-peaks.txt	1		chr14-394
Merged-chr14-16574761-1	chr14	16574608	16574914	+	16.700001	K27m3-2-peaks.txt	1		chr14-396
Merged-chr11-74895452-1	chr11	74895299	74895605	+	9.910000	K27m3-2-peaks.txt	1		chr11-1673
Merged-chr11-80602855-1	chr11	80602702	80603008	+	10.500000	K27m3-2-peaks.txt	1		chr11-1685
Merged-chr11-82868342-1	chr11	82868189	82868495	+	10.500000	K27m3-2-peaks.txt	1		chr11-1689
Merged-chr11-82991915-1	chr11	82991762	82992068	+	11.200000	K27m3-2-peaks.txt	1		chr11-1691
Merged-chr11-84723928-1	chr11	84723775	84724081	+	10.500000	K27m3-2-peaks.txt	1		chr11-1694
Merged-chr11-87663590-1	chr11	87663437	87663743	+	10.500000	K27m3-2-peaks.txt	1		chr11-1698
Merged-chr9-45429960-1	chr9	45429807	45430113	+	44.000000	K27m3-2-peaks.txt	1		chr9-121
Merged-chr9-103112679-1	chr9	103112526	103112832	+	42.099998	K27m3-2-peaks.txt	1		chr9-124
Merged-chr9-107552804-1	chr9	107552651	107552957	+	42.099998	K27m3-2-peaks.txt	1		chr9-139
Merged-chr9-107676993-1	chr9	107676840	107677146	+	42.799999	K27m3-2-peaks.txt	1		chr9-146
Merged-chr9-14751504-1	chr9	14751351	14751657	+	34.700001	K27m3-2-peaks.txt	1		chr9-172
Merged-chr16-77014218-1	chr16	77014065	77014371	+	14.900000	K27m3-2-peaks.txt	1		chr16-301
Merged-chr16-91947716-1	chr16	91947563	91947869	+	13.000000	K27m3-2-peaks.txt	1		chr16-302
Merged-chr16-18349705-1	chr16	18349552	18349858	+	13.600000	K27m3-2-peaks.txt	1		chr16-304
Merged-chr16-26371399-1	chr16	26371246	26371552	+	14.900000	K27m3-2-peaks.txt	1		chr16-307
Merged-chr3-145758190-1	chr3	145758037	145758343	+	30.400000	K27m3-2-peaks.txt	1		chr3-205
Merged-chr5-118298069-1	chr5	118297916	118298222	+	7.440000	K27m3-2-peaks.txt	1		chr5-2003
Merged-chr16-95619103-1	chr16	95618950	95619256	+	14.300000	K27m3-2-peaks.txt	1		chr16-313
Merged-chr16-14292058-1	chr16	14291905	14292211	+	12.400000	K27m3-2-peaks.txt	1		chr16-316
Merged-chr3-88254263-1	chr3	88254110	88254416	+	28.500000	K27m3-2-peaks.txt	1		chr3-214
Merged-chr5-119897136-1	chr5	119896983	119897289	+	8.060000	K27m3-2-peaks.txt	1		chr5-2010
Merged-chr16-31348557-1	chr16	31348404	31348710	+	13.600000	K27m3-2-peaks.txt	1		chr16-324
Merged-chr16-72664135-1	chr16	72663982	72664288	+	12.400000	K27m3-2-peaks.txt	1		chr16-329
Merged-chr14-70554197-1	chr14	70554044	70554350	+	62.000000	K27m3-2-peaks.txt	1		chr14-22
Merged-chr16-87697470-1	chr16	87697317	87697623	+	12.400000	K27m3-2-peaks.txt	1		chr16-331
Merged-chr16-96191229-1	chr16	96191076	96191382	+	13.000000	K27m3-2-peaks.txt	1		chr16-332
Merged-chr16-8410714-1	chr16	8410561	8410867	+	13.000000	K27m3-2-peaks.txt	1		chr16-334
Merged-chr3-108186917-1	chr3	108186764	108187070	+	27.900000	K27m3-2-peaks.txt	1		chr3-231
Merged-chr5-124836146-1	chr5	124835993	124836299	+	8.060000	K27m3-2-peaks.txt	1		chr5-2039
Merged-chr16-37685691-1	chr16	37685538	37685844	+	13.600000	K27m3-2-peaks.txt	1		chr16-341
Merged-chr16-91598624-1	chr16	91598471	91598777	+	13.600000	K27m3-2-peaks.txt	1		chr16-348
Merged-chr16-91731268-1	chr16	91731115	91731421	+	13.600000	K27m3-2-peaks.txt	1		chr16-349
Merged-chr16-92480021-1	chr16	92479868	92480174	+	13.000000	K27m3-2-peaks.txt	1		chr16-351
Merged-chr5-134505793-1	chr5	134505640	134505946	+	8.060000	K27m3-2-peaks.txt	1		chr5-2055
Merged-chr16-32164576-1	chr16	32164423	32164729	+	13.600000	K27m3-2-peaks.txt	1		chr16-367
Merged-chr3-54156655-1	chr3	54156502	54156808	+	26.000000	K27m3-2-peaks.txt	1		chr3-264
Merged-chr3-102470606-1	chr3	102470453	102470759	+	26.000000	K27m3-2-peaks.txt	1		chr3-266
Merged-chr5-135141372-1	chr5	135141219	135141525	+	7.440000	K27m3-2-peaks.txt	1		chr5-2060
Merged-chr5-135796928-1	chr5	135796775	135797081	+	8.670000	K27m3-2-peaks.txt	1		chr5-2063
Merged-chr14-8317194-1	chr14	8317041	8317347	+	45.900002	K27m3-2-peaks.txt	1		chr14-70
Merged-chr10-7867995-1	chr10	7867842	7868148	+	19.799999	K27m3-2-peaks.txt	1		chr10-400
Merged-chr5-137164260-1	chr5	137164107	137164413	+	7.440000	K27m3-2-peaks.txt	1		chr5-2071
Merged-chr16-17131315-1	chr16	17131162	17131468	+	11.200000	K27m3-2-peaks.txt	1		chr16-380
Merged-chr16-17647050-1	chr16	17646897	17647203	+	11.200000	K27m3-2-peaks.txt	1		chr16-383
Merged-chr3-51562306-1	chr3	51562153	51562459	+	24.799999	K27m3-2-peaks.txt	1		chr3-281
Merged-chr10-128673238-1	chr10	128673085	128673391	+	17.299999	K27m3-2-peaks.txt	1		chr10-417
Merged-chr16-23897698-1	chr16	23897545	23897851	+	11.800000	K27m3-2-peaks.txt	1		chr16-391
Merged-chr10-37140045-1	chr10	37139892	37140198	+	18.000000	K27m3-2-peaks.txt	1		chr10-422
Merged-chr10-57632641-1	chr10	57632488	57632794	+	17.299999	K27m3-2-peaks.txt	1		chr10-428
Merged-chr5-140539551-1	chr5	140539398	140539704	+	8.670000	K27m3-2-peaks.txt	1		chr5-2090
Merged-chr5-143235887-1	chr5	143235734	143236040	+	7.440000	K27m3-2-peaks.txt	1		chr5-2098
Merged-chr10-29196390-1	chr10	29196237	29196543	+	19.200001	K27m3-2-peaks.txt	1		chr10-440
Merged-chr10-80372869-1	chr10	80372716	80373022	+	19.200001	K27m3-2-peaks.txt	1		chr10-449
Merged-chr10-94312684-1	chr10	94312531	94312837	+	18.000000	K27m3-2-peaks.txt	1		chr10-453
Merged-chr10-117149568-1	chr10	117149415	117149721	+	16.700001	K27m3-2-peaks.txt	1		chr10-472
Merged-chr10-67911619-1	chr10	67911466	67911772	+	16.100000	K27m3-2-peaks.txt	1		chr10-481
Merged-chr10-80445823-1	chr10	80445670	80445976	+	15.500000	K27m3-2-peaks.txt	1		chr10-488
Merged-chr10-83532737-1	chr10	83532584	83532890	+	16.100000	K27m3-2-peaks.txt	1		chr10-492
Merged-chr18-15760521-1	chr18	15760368	15760674	+	19.200001	K27m3-2-peaks.txt	1		chr18-301
Merged-chr18-4354112-1	chr18	4353959	4354265	+	19.200001	K27m3-2-peaks.txt	1		chr18-311
Merged-chr18-31939890-1	chr18	31939737	31940043	+	20.400000	K27m3-2-peaks.txt	1		chr18-315
Merged-chr5-30105196-1	chr5	30105043	30105349	+	45.900002	K27m3-2-peaks.txt	1		chr5-223
Merged-chr5-63649278-1	chr5	63649125	63649431	+	42.799999	K27m3-2-peaks.txt	1		chr5-225
Merged-chr5-63650498-1	chr5	63650345	63650651	+	42.799999	K27m3-2-peaks.txt	1		chr5-226
Merged-chr18-61535881-1	chr18	61535728	61536034	+	19.799999	K27m3-2-peaks.txt	1		chr18-333
Merged-chr18-37308681-1	chr18	37308528	37308834	+	19.799999	K27m3-2-peaks.txt	1		chr18-338
Merged-chr5-33983790-1	chr5	33983637	33983943	+	40.900002	K27m3-2-peaks.txt	1		chr5-236
Merged-chr18-66860896-1	chr18	66860743	66861049	+	17.299999	K27m3-2-peaks.txt	1		chr18-343
Merged-chr10-7392784-1	chr10	7392631	7392937	+	66.300003	K27m3-2-peaks.txt	1		chr10-18
Merged-chr5-136882836-1	chr5	136882683	136882989	+	39.700001	K27m3-2-peaks.txt	1		chr5-251
Merged-chr10-73098702-1	chr10	73098549	73098855	+	53.900002	K27m3-2-peaks.txt	1		chr10-39
Merged-chr5-69341128-1	chr5	69340975	69341281	+	38.400002	K27m3-2-peaks.txt	1		chr5-276
Merged-chr12-8949036-1	chr12	8948883	8949189	+	17.299999	K27m3-2-peaks.txt	1		chr12-402
Merged-chr10-80835138-1	chr10	80834985	80835291	+	48.900002	K27m3-2-peaks.txt	1		chr10-45
Merged-chr10-41071458-1	chr10	41071305	41071611	+	48.299999	K27m3-2-peaks.txt	1		chr10-51
Merged-chr10-81431128-1	chr10	81430975	81431281	+	48.299999	K27m3-2-peaks.txt	1		chr10-55
Merged-chr12-3366499-1	chr12	3366346	3366652	+	16.700001	K27m3-2-peaks.txt	1		chr12-421
Merged-chr12-58267410-1	chr12	58267257	58267563	+	16.100000	K27m3-2-peaks.txt	1		chr12-427
Merged-chr10-44527940-1	chr10	44527787	44528093	+	43.400002	K27m3-2-peaks.txt	1		chr10-73
Merged-chr10-80342392-1	chr10	80342239	80342545	+	44.599998	K27m3-2-peaks.txt	1		chr10-79
Merged-chr10-123265629-1	chr10	123265476	123265782	+	42.799999	K27m3-2-peaks.txt	1		chr10-81
Merged-chr10-58813012-1	chr10	58812859	58813165	+	42.099998	K27m3-2-peaks.txt	1		chr10-86
Merged-chr12-4842866-1	chr12	4842713	4843019	+	16.700001	K27m3-2-peaks.txt	1		chr12-452
Merged-chr12-59130465-1	chr12	59130312	59130618	+	16.100000	K27m3-2-peaks.txt	1		chr12-461
Merged-chr12-80437593-1	chr12	80437440	80437746	+	18.000000	K27m3-2-peaks.txt	1		chr12-467
Merged-chr12-113141966-1	chr12	113141813	113142119	+	18.600000	K27m3-2-peaks.txt	1		chr12-478
Merged-chr12-8499266-1	chr12	8499113	8499419	+	16.700001	K27m3-2-peaks.txt	1		chr12-484
Merged-chr12-85748061-1	chr12	85747908	85748214	+	14.900000	K27m3-2-peaks.txt	1		chr12-499
Merged-chr7-65862590-1	chr7	65862437	65862743	+	38.400002	K27m3-2-peaks.txt	1		chr7-217
Merged-chr7-66428522-1	chr7	66428369	66428675	+	37.799999	K27m3-2-peaks.txt	1		chr7-246
Merged-chr7-140081572-1	chr7	140081419	140081725	+	35.299999	K27m3-2-peaks.txt	1		chr7-253
Merged-chr7-31126837-1	chr7	31126684	31126990	+	34.099998	K27m3-2-peaks.txt	1		chr7-267
Merged-chr14-32512245-1	chr14	32512092	32512398	+	15.500000	K27m3-2-peaks.txt	1		chr14-402
Merged-chr14-47374342-1	chr14	47374189	47374495	+	14.300000	K27m3-2-peaks.txt	1		chr14-406
Merged-chr14-103844515-1	chr14	103844362	103844668	+	16.100000	K27m3-2-peaks.txt	1		chr14-419
Merged-chr1-63249066-1	chr1	63248913	63249219	+	28.500000	K27m3-2-peaks.txt	1		chr1-310
Merged-chr1-75141302-1	chr1	75141149	75141455	+	27.299999	K27m3-2-peaks.txt	1		chr1-311
Merged-chr1-189343565-1	chr1	189343412	189343718	+	28.500000	K27m3-2-peaks.txt	1		chr1-317
Merged-chr1-42954260-1	chr1	42954107	42954413	+	28.500000	K27m3-2-peaks.txt	1		chr1-320
Merged-chr1-84935741-1	chr1	84935588	84935894	+	27.900000	K27m3-2-peaks.txt	1		chr1-325
Merged-chr11-95250822-1	chr11	95250669	95250975	+	10.500000	K27m3-2-peaks.txt	1		chr11-1705
Merged-chr11-96123520-1	chr11	96123367	96123673	+	10.500000	K27m3-2-peaks.txt	1		chr11-1708
Merged-chr14-43122994-1	chr14	43122841	43123147	+	13.000000	K27m3-2-peaks.txt	1		chr14-434
Merged-chr1-18058059-1	chr1	18057906	18058212	+	27.900000	K27m3-2-peaks.txt	1		chr1-330
Merged-chr1-42953480-1	chr1	42953327	42953633	+	25.400000	K27m3-2-peaks.txt	1		chr1-333
Merged-chr11-96447715-1	chr11	96447562	96447868	+	10.500000	K27m3-2-peaks.txt	1		chr11-1713
Merged-chr14-56864498-1	chr14	56864345	56864651	+	14.300000	K27m3-2-peaks.txt	1		chr14-440
Merged-chr14-58000347-1	chr14	58000194	58000500	+	14.900000	K27m3-2-peaks.txt	1		chr14-442
Merged-chr14-60484606-1	chr14	60484453	60484759	+	14.300000	K27m3-2-peaks.txt	1		chr14-443
Merged-chr1-170908122-1	chr1	170907969	170908275	+	25.400000	K27m3-2-peaks.txt	1		chr1-346
Merged-chr11-100672746-1	chr11	100672593	100672899	+	9.910000	K27m3-2-peaks.txt	1		chr11-1727
Merged-chr11-103079672-1	chr11	103079519	103079825	+	11.200000	K27m3-2-peaks.txt	1		chr11-1736
Merged-chr14-63280944-1	chr14	63280791	63281097	+	13.000000	K27m3-2-peaks.txt	1		chr14-464
Merged-chr14-70579368-1	chr14	70579215	70579521	+	14.300000	K27m3-2-peaks.txt	1		chr14-467
Merged-chr1-33908698-1	chr1	33908545	33908851	+	24.799999	K27m3-2-peaks.txt	1		chr1-375
Merged-chr11-117970724-1	chr11	117970571	117970877	+	9.910000	K27m3-2-peaks.txt	1		chr11-1758
Merged-chr1-34678508-1	chr1	34678355	34678661	+	25.400000	K27m3-2-peaks.txt	1		chr1-389
Merged-chr11-3984053-1	chr11	3983900	3984206	+	9.290000	K27m3-2-peaks.txt	1		chr11-1769
Merged-chr14-60085914-1	chr14	60085761	60086067	+	13.600000	K27m3-2-peaks.txt	1		chr14-492
Merged-chr14-62292767-1	chr14	62292614	62292920	+	14.300000	K27m3-2-peaks.txt	1		chr14-494
Merged-chr14-76165144-1	chr14	76164991	76165297	+	14.900000	K27m3-2-peaks.txt	1		chr14-496
Merged-chr14-79662239-1	chr14	79662086	79662392	+	14.300000	K27m3-2-peaks.txt	1		chr14-498
Merged-chr11-25645126-1	chr11	25644973	25645279	+	9.290000	K27m3-2-peaks.txt	1		chr11-1777
Merged-chr11-45926016-1	chr11	45925863	45926169	+	9.910000	K27m3-2-peaks.txt	1		chr11-1784
Merged-chr11-50132579-1	chr11	50132426	50132732	+	9.290000	K27m3-2-peaks.txt	1		chr11-1786
Merged-chr11-51898482-1	chr11	51898329	51898635	+	9.290000	K27m3-2-peaks.txt	1		chr11-1788
Merged-chr11-52187515-1	chr11	52187362	52187668	+	8.670000	K27m3-2-peaks.txt	1		chr11-1789
Merged-chr9-52677839-1	chr9	52677686	52677992	+	37.799999	K27m3-2-peaks.txt	1		chr9-209
Merged-chr9-114979392-1	chr9	114979239	114979545	+	34.700001	K27m3-2-peaks.txt	1		chr9-226
Merged-chr9-50699773-1	chr9	50699620	50699926	+	32.200001	K27m3-2-peaks.txt	1		chr9-228
Merged-chr9-72132255-1	chr9	72132102	72132408	+	32.799999	K27m3-2-peaks.txt	1		chr9-250
Merged-chr9-28403602-1	chr9	28403449	28403755	+	30.400000	K27m3-2-peaks.txt	1		chr9-252
Merged-chr16-91730459-1	chr16	91730306	91730612	+	12.400000	K27m3-2-peaks.txt	1		chr16-409
Merged-chr9-50698638-1	chr9	50698485	50698791	+	27.900000	K27m3-2-peaks.txt	1		chr9-283
Merged-chr9-51102886-1	chr9	51102733	51103039	+	29.100000	K27m3-2-peaks.txt	1		chr9-284
Merged-chr3-66220086-1	chr3	66219933	66220239	+	24.200001	K27m3-2-peaks.txt	1		chr3-311
Merged-chr5-148437117-1	chr5	148436964	148437270	+	8.060000	K27m3-2-peaks.txt	1		chr5-2117
Merged-chr9-64084757-1	chr9	64084604	64084910	+	27.900000	K27m3-2-peaks.txt	1		chr9-296
Merged-chr3-30011551-1	chr3	30011398	30011704	+	22.299999	K27m3-2-peaks.txt	1		chr3-324
Merged-chr3-69598002-1	chr3	69597849	69598155	+	22.299999	K27m3-2-peaks.txt	1		chr3-327
Merged-chr3-75956424-1	chr3	75956271	75956577	+	21.700001	K27m3-2-peaks.txt	1		chr3-328
Merged-chr16-32878414-1	chr16	32878261	32878567	+	9.910000	K27m3-2-peaks.txt	1		chr16-432
Merged-chr16-38609958-1	chr16	38609805	38610111	+	11.800000	K27m3-2-peaks.txt	1		chr16-438
Merged-chr3-95881255-1	chr3	95881102	95881408	+	21.700001	K27m3-2-peaks.txt	1		chr3-332
Merged-chr3-32366648-1	chr3	32366495	32366801	+	21.100000	K27m3-2-peaks.txt	1		chr3-337
Merged-chr5-150084753-1	chr5	150084600	150084906	+	7.440000	K27m3-2-peaks.txt	1		chr5-2131
Merged-chr16-78931824-1	chr16	78931671	78931977	+	10.500000	K27m3-2-peaks.txt	1		chr16-445
Merged-chr16-90669566-1	chr16	90669413	90669719	+	10.500000	K27m3-2-peaks.txt	1		chr16-448
Merged-chr3-80914281-1	chr3	80914128	80914434	+	22.299999	K27m3-2-peaks.txt	1		chr3-344
Merged-chr3-105705995-1	chr3	105705842	105706148	+	24.200001	K27m3-2-peaks.txt	1		chr3-349
Merged-chr16-94788970-1	chr16	94788817	94789123	+	11.200000	K27m3-2-peaks.txt	1		chr16-452
Merged-chr16-95703501-1	chr16	95703348	95703654	+	11.200000	K27m3-2-peaks.txt	1		chr16-453
Merged-chr16-96190511-1	chr16	96190358	96190664	+	11.200000	K27m3-2-peaks.txt	1		chr16-454
Merged-chr16-13941820-1	chr16	13941667	13941973	+	8.670000	K27m3-2-peaks.txt	1		chr16-458
Merged-chr3-148988831-1	chr3	148988678	148988984	+	22.299999	K27m3-2-peaks.txt	1		chr3-353
Merged-chr3-55055759-1	chr3	55055606	55055912	+	19.799999	K27m3-2-peaks.txt	1		chr3-356
Merged-chr16-21334353-1	chr16	21334200	21334506	+	10.500000	K27m3-2-peaks.txt	1		chr16-467
Merged-chr3-94657794-1	chr3	94657641	94657947	+	22.299999	K27m3-2-peaks.txt	1		chr3-361
Merged-chr3-145292937-1	chr3	145292784	145293090	+	21.700001	K27m3-2-peaks.txt	1		chr3-365
Merged-chr3-8686296-1	chr3	8686143	8686449	+	21.700001	K27m3-2-peaks.txt	1		chr3-366
Merged-chr16-31906388-1	chr16	31906235	31906541	+	11.200000	K27m3-2-peaks.txt	1		chr16-479
Merged-chr3-96333873-1	chr3	96333720	96334026	+	20.400000	K27m3-2-peaks.txt	1		chr3-371
Merged-chr3-26153146-1	chr3	26152993	26153299	+	19.799999	K27m3-2-peaks.txt	1		chr3-379
Merged-chr10-25199554-1	chr10	25199401	25199707	+	16.100000	K27m3-2-peaks.txt	1		chr10-500
Merged-chr10-40140876-1	chr10	40140723	40141029	+	16.100000	K27m3-2-peaks.txt	1		chr10-503
Merged-chr10-41811941-1	chr10	41811788	41812094	+	15.500000	K27m3-2-peaks.txt	1		chr10-504
Merged-chr16-65816714-1	chr16	65816561	65816867	+	9.290000	K27m3-2-peaks.txt	1		chr16-487
Merged-chr10-79883058-1	chr10	79882905	79883211	+	14.900000	K27m3-2-peaks.txt	1		chr10-513
Merged-chr10-98915870-1	chr10	98915717	98916023	+	14.300000	K27m3-2-peaks.txt	1		chr10-519
Merged-chr16-92400570-1	chr16	92400417	92400723	+	9.910000	K27m3-2-peaks.txt	1		chr16-496
Merged-chr10-100305663-1	chr10	100305510	100305816	+	14.900000	K27m3-2-peaks.txt	1		chr10-520
Merged-chr10-128588965-1	chr10	128588812	128589118	+	14.900000	K27m3-2-peaks.txt	1		chr10-525
Merged-chr10-43044969-1	chr10	43044816	43045122	+	13.600000	K27m3-2-peaks.txt	1		chr10-530
Merged-chr10-81482239-1	chr10	81482086	81482392	+	14.900000	K27m3-2-peaks.txt	1		chr10-541
Merged-chr10-85598246-1	chr10	85598093	85598399	+	14.300000	K27m3-2-peaks.txt	1		chr10-543
Merged-chr10-100303142-1	chr10	100302989	100303295	+	14.300000	K27m3-2-peaks.txt	1		chr10-550
Merged-chr10-76343952-1	chr10	76343799	76344105	+	14.900000	K27m3-2-peaks.txt	1		chr10-561
Merged-chr10-81195371-1	chr10	81195218	81195524	+	13.000000	K27m3-2-peaks.txt	1		chr10-566
Merged-chr10-59910654-1	chr10	59910501	59910807	+	13.600000	K27m3-2-peaks.txt	1		chr10-585
Merged-chr10-79989239-1	chr10	79989086	79989392	+	11.800000	K27m3-2-peaks.txt	1		chr10-590
Merged-chr10-90728342-1	chr10	90728189	90728495	+	13.600000	K27m3-2-peaks.txt	1		chr10-597
Merged-chr10-95941880-1	chr10	95941727	95942033	+	13.600000	K27m3-2-peaks.txt	1		chr10-598
Merged-chr10-111166165-1	chr10	111166012	111166318	+	13.000000	K27m3-2-peaks.txt	1		chr10-599
Merged-chr18-67246117-1	chr18	67245964	67246270	+	15.500000	K27m3-2-peaks.txt	1		chr18-413
Merged-chr18-67463976-1	chr18	67463823	67464129	+	18.000000	K27m3-2-peaks.txt	1		chr18-414
Merged-chr18-67609260-1	chr18	67609107	67609413	+	18.000000	K27m3-2-peaks.txt	1		chr18-415
Merged-chr18-73694026-1	chr18	73693873	73694179	+	16.100000	K27m3-2-peaks.txt	1		chr18-416
Merged-chr18-35872347-1	chr18	35872194	35872500	+	14.900000	K27m3-2-peaks.txt	1		chr18-424
Merged-chr18-50054207-1	chr18	50054054	50054360	+	16.100000	K27m3-2-peaks.txt	1		chr18-430
Merged-chr5-128432877-1	chr5	128432724	128433030	+	36.599998	K27m3-2-peaks.txt	1		chr5-330
Merged-chr18-31631127-1	chr18	31630974	31631280	+	15.500000	K27m3-2-peaks.txt	1		chr18-457
Merged-chr5-139735816-1	chr5	139735663	139735969	+	31.600000	K27m3-2-peaks.txt	1		chr5-352
Merged-chr18-34888331-1	chr18	34888178	34888484	+	14.300000	K27m3-2-peaks.txt	1		chr18-462
Merged-chr18-46743332-1	chr18	46743179	46743485	+	14.900000	K27m3-2-peaks.txt	1		chr18-469
Merged-chr5-135107381-1	chr5	135107228	135107534	+	32.200001	K27m3-2-peaks.txt	1		chr5-366
Merged-chr18-57879538-1	chr18	57879385	57879691	+	14.300000	K27m3-2-peaks.txt	1		chr18-472
Merged-chr18-69198810-1	chr18	69198657	69198963	+	14.300000	K27m3-2-peaks.txt	1		chr18-475
Merged-chr5-18359187-1	chr5	18359034	18359340	+	29.100000	K27m3-2-peaks.txt	1		chr5-375
Merged-chr5-35058244-1	chr5	35058091	35058397	+	27.299999	K27m3-2-peaks.txt	1		chr5-378
Merged-chr12-91401141-1	chr12	91400988	91401294	+	16.100000	K27m3-2-peaks.txt	1		chr12-500
Merged-chr5-122778489-1	chr5	122778336	122778642	+	30.400000	K27m3-2-peaks.txt	1		chr5-383
Merged-chr12-9428257-1	chr12	9428104	9428410	+	14.900000	K27m3-2-peaks.txt	1		chr12-512
Merged-chr12-79030516-1	chr12	79030363	79030669	+	15.500000	K27m3-2-peaks.txt	1		chr12-522
Merged-chr12-24649766-1	chr12	24649613	24649919	+	13.600000	K27m3-2-peaks.txt	1		chr12-535
Merged-chr12-78747852-1	chr12	78747699	78748005	+	14.900000	K27m3-2-peaks.txt	1		chr12-544
Merged-chr12-84010237-1	chr12	84010084	84010390	+	14.900000	K27m3-2-peaks.txt	1		chr12-548
Merged-chr12-104863840-1	chr12	104863687	104863993	+	14.900000	K27m3-2-peaks.txt	1		chr12-552
Merged-chr12-111167746-1	chr12	111167593	111167899	+	14.900000	K27m3-2-peaks.txt	1		chr12-560
Merged-chr12-4872910-1	chr12	4872757	4873063	+	15.500000	K27m3-2-peaks.txt	1		chr12-564
Merged-chr12-33146261-1	chr12	33146108	33146414	+	14.900000	K27m3-2-peaks.txt	1		chr12-571
Merged-chr12-40133294-1	chr12	40133141	40133447	+	13.000000	K27m3-2-peaks.txt	1		chr12-572
Merged-chr12-78747082-1	chr12	78746929	78747235	+	14.900000	K27m3-2-peaks.txt	1		chr12-582
Merged-chr12-100907510-1	chr12	100907357	100907663	+	13.000000	K27m3-2-peaks.txt	1		chr12-586
Merged-chr12-101028539-1	chr12	101028386	101028692	+	14.300000	K27m3-2-peaks.txt	1		chr12-587
Merged-chr12-111040882-1	chr12	111040729	111041035	+	13.600000	K27m3-2-peaks.txt	1		chr12-591
Merged-chr12-8501233-1	chr12	8501080	8501386	+	13.000000	K27m3-2-peaks.txt	1		chr12-595
Merged-chr12-56302510-1	chr12	56302357	56302663	+	14.300000	K27m3-2-peaks.txt	1		chr12-599
Merged-chr7-74553732-1	chr7	74553579	74553885	+	32.200001	K27m3-2-peaks.txt	1		chr7-325
Merged-chr7-93080492-1	chr7	93080339	93080645	+	31.000000	K27m3-2-peaks.txt	1		chr7-328
Merged-chr5-118027839-1	chr5	118027686	118027992	+	106.599998	K27m3-2-peaks.txt	1		chr5-2
Merged-chr1-162476941-1	chr1	162476788	162477094	+	24.200001	K27m3-2-peaks.txt	1		chr1-407
Merged-chr7-28630385-1	chr7	28630232	28630538	+	27.299999	K27m3-2-peaks.txt	1		chr7-382
Merged-chr7-43477705-1	chr7	43477552	43477858	+	27.299999	K27m3-2-peaks.txt	1		chr7-383
Merged-chr14-34398329-1	chr14	34398176	34398482	+	12.400000	K27m3-2-peaks.txt	1		chr14-515
Merged-chr1-34459231-1	chr1	34459078	34459384	+	22.299999	K27m3-2-peaks.txt	1		chr1-415
Merged-chr7-126950850-1	chr7	126950697	126951003	+	29.100000	K27m3-2-peaks.txt	1		chr7-393
Merged-chr14-51249616-1	chr14	51249463	51249769	+	13.000000	K27m3-2-peaks.txt	1		chr14-523
Merged-chr14-55618731-1	chr14	55618578	55618884	+	13.600000	K27m3-2-peaks.txt	1		chr14-526
Merged-chr1-133799377-1	chr1	133799224	133799530	+	22.900000	K27m3-2-peaks.txt	1		chr1-421
Merged-chr11-60188030-1	chr11	60187877	60188183	+	9.910000	K27m3-2-peaks.txt	1		chr11-1801
Merged-chr1-184811071-1	chr1	184810918	184811224	+	22.299999	K27m3-2-peaks.txt	1		chr1-426
Merged-chr11-60451208-1	chr11	60451055	60451361	+	10.500000	K27m3-2-peaks.txt	1		chr11-1802
Merged-chr1-192091479-1	chr1	192091326	192091632	+	23.500000	K27m3-2-peaks.txt	1		chr1-427
Merged-chr11-60700902-1	chr11	60700749	60701055	+	10.500000	K27m3-2-peaks.txt	1		chr11-1803
Merged-chr14-76011988-1	chr14	76011835	76012141	+	13.000000	K27m3-2-peaks.txt	1		chr14-537
Merged-chr1-152765706-1	chr1	152765553	152765859	+	22.299999	K27m3-2-peaks.txt	1		chr1-433
Merged-chr1-171065967-1	chr1	171065814	171066120	+	36.599998	K27m3-2-peaks.txt	1		chr1-435
Merged-chr11-65495557-1	chr11	65495404	65495710	+	9.910000	K27m3-2-peaks.txt	1		chr11-1812
Merged-chr11-67201269-1	chr11	67201116	67201422	+	9.910000	K27m3-2-peaks.txt	1		chr11-1815
Merged-chr14-120480133-1	chr14	120479980	120480286	+	11.800000	K27m3-2-peaks.txt	1		chr14-542
Merged-chr1-9300746-1	chr1	9300593	9300899	+	21.700001	K27m3-2-peaks.txt	1		chr1-442
Merged-chr1-106713193-1	chr1	106713040	106713346	+	22.299999	K27m3-2-peaks.txt	1		chr1-456
Merged-chr1-134298163-1	chr1	134298010	134298316	+	22.900000	K27m3-2-peaks.txt	1		chr1-458
